timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637062443596,140,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,558,122,3,3,http://google.com/classroom,139,0,70
1637062443736,228,HTTP Request-1,301,Moved Permanently,Thread Group 1-10,text,true,,725,126,3,3,https://www.google.com/classroom,228,0,156
1637062443965,364,HTTP Request-2,302,Moved Temporarily,Thread Group 1-10,text,true,,1917,123,3,3,https://classroom.google.com/,364,0,153
1637062444329,499,HTTP Request-3,200,OK,Thread Group 1-10,text,true,,102362,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,303,0,162
1637062444598,1146,HTTP Request,200,OK,Thread Group 1-12,text,true,,105590,623,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,134,0,67
1637062444598,134,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,558,122,4,4,http://google.com/classroom,134,0,67
1637062444732,223,HTTP Request-1,301,Moved Permanently,Thread Group 1-12,text,true,,725,126,4,4,https://www.google.com/classroom,223,0,155
1637062444956,332,HTTP Request-2,302,Moved Temporarily,Thread Group 1-12,text,true,,1917,123,4,4,https://classroom.google.com/,331,0,146
1637062445288,456,HTTP Request-3,200,OK,Thread Group 1-12,text,true,,102390,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,274,0,143
1637062444097,1898,HTTP Request,200,OK,Thread Group 1-11,text,true,,106545,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,143,0,72
1637062444097,143,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,558,122,3,3,http://google.com/classroom,143,0,72
1637062444240,255,HTTP Request-1,301,Moved Permanently,Thread Group 1-11,text,true,,725,126,3,3,https://www.google.com/classroom,255,0,167
1637062444496,999,HTTP Request-2,302,Moved Temporarily,Thread Group 1-11,text,true,,1917,123,3,3,https://classroom.google.com/,999,0,152
1637062445496,499,HTTP Request-3,200,OK,Thread Group 1-11,text,true,,103345,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,301,0,161
1637062445097,1212,HTTP Request,200,OK,Thread Group 1-13,text,true,,106329,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,144,0,71
1637062445097,144,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,558,122,3,3,http://google.com/classroom,144,0,71
1637062445242,230,HTTP Request-1,301,Moved Permanently,Thread Group 1-13,text,true,,725,126,3,3,https://www.google.com/classroom,230,0,157
1637062445473,369,HTTP Request-2,302,Moved Temporarily,Thread Group 1-13,text,true,,1917,123,3,3,https://classroom.google.com/,369,0,151
1637062445842,467,HTTP Request-3,200,OK,Thread Group 1-13,text,true,,103129,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,280,0,148
1637062445596,1168,HTTP Request,200,OK,Thread Group 1-14,text,true,,106369,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,130,0,65
1637062445596,130,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,558,122,3,3,http://google.com/classroom,130,0,65
1637062445727,226,HTTP Request-1,301,Moved Permanently,Thread Group 1-14,text,true,,725,126,3,3,https://www.google.com/classroom,226,0,151
1637062445953,337,HTTP Request-2,302,Moved Temporarily,Thread Group 1-14,text,true,,1917,123,3,3,https://classroom.google.com/,337,0,149
1637062446290,474,HTTP Request-3,200,OK,Thread Group 1-14,text,true,,103169,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,291,0,154
1637062446094,1219,HTTP Request,200,OK,Thread Group 1-15,text,true,,106349,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,143,0,71
1637062446094,143,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,558,122,3,3,http://google.com/classroom,143,0,71
1637062446238,229,HTTP Request-1,301,Moved Permanently,Thread Group 1-15,text,true,,725,126,3,3,https://www.google.com/classroom,229,0,156
1637062446467,346,HTTP Request-2,302,Moved Temporarily,Thread Group 1-15,text,true,,1917,123,3,3,https://classroom.google.com/,346,0,159
1637062446814,499,HTTP Request-3,200,OK,Thread Group 1-15,text,true,,103149,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,299,0,163
1637062446596,1212,HTTP Request,200,OK,Thread Group 1-16,text,true,,106361,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,140,0,68
1637062446596,140,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,558,122,3,3,http://google.com/classroom,140,0,68
1637062446736,231,HTTP Request-1,301,Moved Permanently,Thread Group 1-16,text,true,,725,126,3,3,https://www.google.com/classroom,231,0,160
1637062446967,346,HTTP Request-2,302,Moved Temporarily,Thread Group 1-16,text,true,,1917,123,3,3,https://classroom.google.com/,346,0,159
1637062447313,495,HTTP Request-3,200,OK,Thread Group 1-16,text,true,,103161,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,294,0,159
1637062447096,1279,HTTP Request,200,OK,Thread Group 1-17,text,true,,106257,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,142,0,71
1637062447096,142,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,558,122,3,3,http://google.com/classroom,142,0,71
1637062447238,236,HTTP Request-1,301,Moved Permanently,Thread Group 1-17,text,true,,725,126,3,3,https://www.google.com/classroom,236,0,161
1637062447474,425,HTTP Request-2,302,Moved Temporarily,Thread Group 1-17,text,true,,1917,123,3,3,https://classroom.google.com/,424,0,166
1637062447899,476,HTTP Request-3,200,OK,Thread Group 1-17,text,true,,103057,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,282,0,154
1637062447595,1183,HTTP Request,200,OK,Thread Group 1-18,text,true,,106269,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,142,0,71
1637062447595,142,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,558,122,3,3,http://google.com/classroom,142,0,71
1637062447737,225,HTTP Request-1,301,Moved Permanently,Thread Group 1-18,text,true,,725,126,3,3,https://www.google.com/classroom,225,0,153
1637062447962,335,HTTP Request-2,302,Moved Temporarily,Thread Group 1-18,text,true,,1917,123,3,3,https://classroom.google.com/,334,0,150
1637062448298,480,HTTP Request-3,200,OK,Thread Group 1-18,text,true,,103069,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,294,0,161
1637062448096,1207,HTTP Request,200,OK,Thread Group 1-19,text,true,,105514,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,143,0,70
1637062448096,143,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,558,122,3,3,http://google.com/classroom,143,0,70
1637062448239,230,HTTP Request-1,301,Moved Permanently,Thread Group 1-19,text,true,,725,126,3,3,https://www.google.com/classroom,230,0,155
1637062448469,337,HTTP Request-2,302,Moved Temporarily,Thread Group 1-19,text,true,,1917,123,3,3,https://classroom.google.com/,337,0,150
1637062448806,497,HTTP Request-3,200,OK,Thread Group 1-19,text,true,,102314,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,298,0,164
1637062448596,1231,HTTP Request,200,OK,Thread Group 1-20,text,true,,106249,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,142,0,71
1637062448596,142,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,558,122,3,3,http://google.com/classroom,142,0,71
1637062448738,223,HTTP Request-1,301,Moved Permanently,Thread Group 1-20,text,true,,725,126,3,3,https://www.google.com/classroom,223,0,153
1637062448961,361,HTTP Request-2,302,Moved Temporarily,Thread Group 1-20,text,true,,1917,123,3,3,https://classroom.google.com/,361,0,160
1637062449323,504,HTTP Request-3,200,OK,Thread Group 1-20,text,true,,103049,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,314,0,158
1637062449097,1210,HTTP Request,200,OK,Thread Group 1-21,text,true,,106115,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,141,0,71
1637062449097,141,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,559,122,3,3,http://google.com/classroom,141,0,71
1637062449239,229,HTTP Request-1,301,Moved Permanently,Thread Group 1-21,text,true,,726,126,3,3,https://www.google.com/classroom,229,0,156
1637062449469,346,HTTP Request-2,302,Moved Temporarily,Thread Group 1-21,text,true,,1917,123,3,3,https://classroom.google.com/,346,0,161
1637062449816,491,HTTP Request-3,200,OK,Thread Group 1-21,text,true,,102913,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,302,0,153
1637062449596,1403,HTTP Request,200,OK,Thread Group 1-22,text,true,,105480,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,143,0,71
1637062449596,143,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,559,122,3,3,http://google.com/classroom,143,0,71
1637062449739,247,HTTP Request-1,301,Moved Permanently,Thread Group 1-22,text,true,,726,126,3,3,https://www.google.com/classroom,247,0,171
1637062449986,532,HTTP Request-2,302,Moved Temporarily,Thread Group 1-22,text,true,,1917,123,3,3,https://classroom.google.com/,532,0,152
1637062450518,481,HTTP Request-3,200,OK,Thread Group 1-22,text,true,,102278,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,294,0,154
1637062450095,1342,HTTP Request,200,OK,Thread Group 1-23,text,true,,106397,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,139,0,69
1637062450095,139,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,559,122,3,3,http://google.com/classroom,139,0,69
1637062450234,224,HTTP Request-1,301,Moved Permanently,Thread Group 1-23,text,true,,726,126,3,3,https://www.google.com/classroom,224,0,154
1637062450458,497,HTTP Request-2,302,Moved Temporarily,Thread Group 1-23,text,true,,1917,123,3,3,https://classroom.google.com/,496,0,146
1637062450955,482,HTTP Request-3,200,OK,Thread Group 1-23,text,true,,103195,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,300,0,149
1637062450596,1187,HTTP Request,200,OK,Thread Group 1-24,text,true,,106267,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,137,0,68
1637062450596,137,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,559,122,3,3,http://google.com/classroom,137,0,68
1637062450734,224,HTTP Request-1,301,Moved Permanently,Thread Group 1-24,text,true,,726,126,3,3,https://www.google.com/classroom,224,0,155
1637062450958,346,HTTP Request-2,302,Moved Temporarily,Thread Group 1-24,text,true,,1917,123,3,3,https://classroom.google.com/,346,0,159
1637062451305,478,HTTP Request-3,200,OK,Thread Group 1-24,text,true,,103065,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,288,0,156
1637062451096,1560,HTTP Request,200,OK,Thread Group 1-25,text,true,,106241,623,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,137,0,67
1637062451096,137,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,559,122,4,4,http://google.com/classroom,137,0,67
1637062451233,221,HTTP Request-1,301,Moved Permanently,Thread Group 1-25,text,true,,726,126,4,4,https://www.google.com/classroom,221,0,150
1637062451454,749,HTTP Request-2,302,Moved Temporarily,Thread Group 1-25,text,true,,1917,123,4,4,https://classroom.google.com/,749,0,159
1637062452204,452,HTTP Request-3,200,OK,Thread Group 1-25,text,true,,103039,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,276,0,144
1637062451596,1300,HTTP Request,200,OK,Thread Group 1-26,text,true,,105520,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,147,0,72
1637062451596,147,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,559,122,3,3,http://google.com/classroom,147,0,72
1637062451744,228,HTTP Request-1,301,Moved Permanently,Thread Group 1-26,text,true,,726,126,3,3,https://www.google.com/classroom,228,0,155
1637062451972,442,HTTP Request-2,302,Moved Temporarily,Thread Group 1-26,text,true,,1917,123,3,3,https://classroom.google.com/,441,0,155
1637062452414,482,HTTP Request-3,200,OK,Thread Group 1-26,text,true,,102318,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,290,0,156
1637062452095,1226,HTTP Request,200,OK,Thread Group 1-27,text,true,,105436,623,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,143,0,71
1637062452095,143,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,559,122,3,3,http://google.com/classroom,143,0,71
1637062452238,227,HTTP Request-1,301,Moved Permanently,Thread Group 1-27,text,true,,726,126,3,3,https://www.google.com/classroom,227,0,155
